University,Major,Key,Level,Language,Tuition Covered,Accomodation covered?,Living Expense Covered?,Tuition fees to pay,Percentage tuition covered,Original Tuition fee,Start_Month,Start_Year,Accomodation_To_Pay,Expense_To_Pay
Zhejiang Normal University,Vocational and Technical Education,Education,Master,Chinese,18800,1,0,0,100,18800,Sep,2019,0,1500
Zhejiang Normal University,Geography,Geography,Master,Chinese,18800,1,0,0,100,18800,Sep,2019,0,1500
Zhejiang Normal University,Business Administration,Business Administration,Master,Chinese,18800,1,0,0,100,18800,Sep,2019,0,1500
Zhejiang Normal University,Ecology,Ecology,Master,Chinese,18800,1,0,0,100,18800,Sep,2019,0,1500
Zhejiang Normal University,Biology,Biology,Master,Chinese,18800,1,0,0,100,18800,Sep,2019,0,1500
Zhejiang Normal University,Chemistry,Chemistry,Master,Chinese,18800,1,0,0,100,18800,Sep,2019,0,1500
Zhejiang Normal University,Master of Physical Education(MPE),Education,Master,Chinese,18800,1,0,0,100,18800,Sep,2019,0,1500
Zhejiang Normal University,Physics,Physics,Master,Chinese,18800,1,0,0,100,18800,Sep,2019,0,1500
Zhejiang Normal University,Software Engineering,Software Engineering,Master,Chinese,18800,1,0,0,100,18800,Sep,2019,0,1500
Zhejiang Normal University,Mathematics,Mathematics,Master,Chinese,18800,1,0,0,100,18800,Sep,2019,0,1500
Zhejiang Normal University,Computer Science and Technology,Computer Science,Master,Chinese,18800,1,0,0,100,18800,Sep,2019,0,1500
Zhejiang Normal University,Public Administration,Public Administration,Master,Chinese,18800,1,0,0,100,18800,Sep,2019,0,1500
Zhejiang Normal University,Educational Economy and Management,Economics,Master,Chinese,18800,1,0,0,100,18800,Sep,2019,0,1500
Zhejiang Normal University,Foreign Language and Literature,Literature,Master,Chinese,18800,1,0,0,100,18800,Sep,2019,0,1500
Zhejiang Normal University,Musicology and Dancing,Arts,Master,Chinese,18800,1,0,0,100,18800,Sep,2019,0,1500
Zhejiang Normal University,Fine Arts,Arts,Master,Chinese,18800,1,0,0,100,18800,Sep,2019,0,1500
Zhengzhou University,Clinical Medicine ,Medicine ,Master,English,32000,0,0,3000,91.42857143,35000,Sep,2019,1125,1000
Zhengzhou University,Biology,Biology,Master,English,32000,0,0,3000,91.42857143,35000,Sep,2019,1125,1000
Zhejiang Normal University,Computer Intelligent Control and Electromechanical Engineering,Computer Science,Master,Chinese,18800,1,0,0,100,18800,Sep,2019,0,1500
Zhejiang Normal University,Master of Business Administration (MBA),Business Administration ,Master,English,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Computer Intelligent Control and Electromechanical Engineering,Computer Science,Master,English,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Comparative Education,Education,Master,English,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,World History,History,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Chinese History,History,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Juvenile Literature,Literature,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Chinese Language and Literature,Chinese Language,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Sports Science,Sports Science,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Special Education,Education,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Master of Translation,Translation,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Master of Teaching Chinese to Speakers of Other Languages,Teaching Chinese to Speakers of Other Languages,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Higher Education,Higher Education,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,History and Culture of Africa,History,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,African Education,Education,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,International Relations,International Relations,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,International Politics,Politics,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Folklore,Folklore,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Intelligent Transportation,Intelligent Transportation,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Vocational and Technical Education,Education,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Geographical Environment and Pollution Control,Geographical Environment and Pollution Control,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Geography,Geography,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Business Administration,Business Administration,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Ecology,Ecology,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Biology,Biology,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Chemistry,Chemistry,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Physics,Physics,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Master of Physical Education(MPE),Physical Education,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Fine Arts,Arts,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Musicology and Dancing,Arts,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Foreign Language and Literature,Foreign Language and Literature,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Educational Economy and Management,Economics,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Public Administration,Public Administration,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Computer Science and Technology,Computer Science,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Mathematics,Mathematics,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Software Engineering,Software Engineering,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Computer Intelligent Control and Electromechanical Engineering,Computer Science,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Master of Environmental Engineering,Environmental Science,Master,English,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Master of Software Engineering,Software Engineering,Master,English,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Master of Social Work (MSW),Social Work ,Master,English,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Master of Public Administration ,Public Administration ,Master,English,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Physics,Physics,Master,English,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Chinese Language Promotion International,Chinese Language,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Master of Fine Arts(MFA)-Art Design,Arts,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Biology,Biology,Master,English,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Geographical Environment and Pollution Control,Geographical Environment and Pollution Control,Master,English,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Master of Fine Arts(MFA)-Broadcasting,Arts,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Master of Fine Arts(MFA)-Film,Arts,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhejiang Normal University,Master of Fine Arts(MFA)-Music,Arts,Master,Chinese,18800,0,0,0,100,18800,Sep,2019,500,1500
Zhengzhou University of Light Industry,Mechanical Engineering,Mechanical Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Beijing University of Chemical Technology,Law,Law,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Zhengzhou University of Light Industry,Chemical and Physical Technology,Chemical and Physical Technology,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Mechanical Engineering (professional degree),Mechanical Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Sports Management,Management,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Master of Accounting (professional degree),Accounting,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Beijing University of Chemical Technology,Food Science and Engineering,Food,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Beijing University of Chemical Technology,Public Management,Management,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Beijing University of Chemical Technology,Philosophy of Technology,Philosoph,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Zhengzhou University of Light Industry,Controlling Engineering (professional degree),Other Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Beijing University of Chemical Technology,Pharmacy,Pharmacy,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Zhengzhou University of Light Industry,Master of Interpreting and Translation (Korean),Translation,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Beijing University of Chemical Technology,The Light Industry Technology and Engineering,Other Engineering,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Beijing University of Chemical Technology,Physics,Physics,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Zhengzhou University of Light Industry,International  Business English,Business,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Master of Interpreting and Translation (English),Translation,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Beijing University of Chemical Technology,Accounting,Accounting,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Beijing University of Chemical Technology,Business Administration,Business Administration,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Zhengzhou University of Light Industry,Social Work (Professional Degree),Social Work,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Art Design (professional degree),Arts,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Design Science,Design Science,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Industrial Design Engineering,Other Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Business Administration,Business Administration,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Beijing University of Chemical Technology,Mathematics,Mathematics,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Beijing University of Chemical Technology,Controlling Science and Engineering,Other Engineering,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Beijing University of Chemical Technology,Software Engineering,Software Engineering,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Beijing University of Chemical Technology,Management Science and Engineering,Management,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Beijing University of Chemical Technology,Safety Science and Engineering,Other Engineering,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Beijing University of Chemical Technology,Engineering Mechanics,Other Engineering,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Beijing University of Chemical Technology,Mechanical Engineering,Mechanical Engineering,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Zhengzhou University of Light Industry,Management Science and Engineering,Management,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Software Engineering,Software Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Computer Technology (professional degree),Computer Science,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Signal and Information Processing,Signal and Information Processing,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Logistics Engineering (professional degree),Other Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Computer Science and Technology,Computer Science,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Environmental Engineering (professional degree),Environmental Science,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Chemical Engineering (professional degree),Chemical Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Materials Engineering (professional degree),Material Science,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Chemical Engineering and Technology,Chemical Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Materials Science,Material Science,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Materials Physics And Chemistry,Material Science,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,The Light Industry Technology and Engineering,Other Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Food Engineering (professional degree),Food,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Biological Engineering,Biological Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Fermentation Engineering,Fermentation Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Food Science and Engineering,Food,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Refrigeration and Cryogenic Engineering,Other Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Power Engineering,Other Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Information and Computing Science,Computer Science,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Building  Electric & Intelligentization,Building  Electric & Intelligentization,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Beijing University of Chemical Technology,Power Engineering and Engineering Thermophysics,Other Engineering,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Beijing University of Chemical Technology,Environmental Science and Engineering,Environmental Science,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Beijing University of Chemical Technology,Business Management,Business,Master,English,26250,0,0,8750,75,35000,Sep,2020,65,1500
Beijing University of Chemical Technology,Computer Science and Technology,Computer Science,Master,English,26250,0,0,8750,75,35000,Sep,2020,65,1500
Beijing University of Chemical Technology,Chemical Engineering and Technology,Chemical Engineering,Master,English,26250,0,0,8750,75,35000,Sep,2020,65,1500
Beijing University of Chemical Technology,Materials Science and Engineering,Material Science,Master,English,26250,0,0,8750,75,35000,Sep,2020,65,1500
Zhengzhou University of Light Industry,Electrical Engineering (professional degree),Electrical Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Beijing University of Chemical Technology,Chemistry,Chemistry,Master,English,26250,0,0,8750,75,35000,Sep,2020,65,1500
Zhengzhou University of Light Industry,Instrument and Meter Engineering (professional degree),Other Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Marxism Theory,Marxism Theory,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Detection Technology and Automatic Equipment,Detection Technology and Automatic Equipment,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Beijing University of Chemical Technology,Economic Technology and Management,Economics,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Beijing University of Chemical Technology,Chemical Engineering and Technology (Research in Biochemical Engineering),Chemical Engineering,Master,English,26250,0,0,8750,75,35000,Sep,2020,65,1500
Zhengzhou University of Light Industry,Electrical Engineering ,Electrical Engineering ,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Beijing University of Chemical Technology,Chemical Engineering and Technology,Chemical Engineering,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Zhengzhou University of Light Industry,Food Science and Engineering,Food,Master,English,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Measuring  and Testing Technologies,Measuring  and Testing Technologies,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Vehicle Engineering (professional degree),Other Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Vehicle Engineering,Other Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Beijing University of Chemical Technology,Marxism Theory,Marxism Theory,Master,Chinese,22500,0,0,0,100,22500,Sep,2020,65,1500
Zhengzhou University of Light Industry,Mechanical Engineering,Mechanical Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Materials Physics,Material Science,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Control Theory and Control Engineering,Other Engineering,Master,Chinese,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
Zhengzhou University of Light Industry,Electrical Engineering and Automation ,Automation ,Master,English,30000,1,0,2000,93.75,32000,Sep,2019,2000,1500
South China University of Technology,Food Science and Engineering,Food,Master,English,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Tourism Management,Tourism,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,International Trade,International Trade,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Intellectual Property,Intellectual Property,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Science of Economic Law,Law,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Legal Theory,Law,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Design Studies (Master in Arts),Design Studies,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Journalism and Communication,Journalism,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Green energetic Chemistry and Technology,Chemistry,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Educational Economics and Management,Economics,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Technological Economics and Management,Economics,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Corporate Management,Management,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Condensed Matter Physics,Physics,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Probability and Mathematical Statistics,Statistics,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Biomass Science and Engineering,Other Engineering,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Electromagnetic Field and Microwave Technology,Electromagnetic Field and Microwave Technology,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Architectural Technology and Science,Architecture,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Landscape Architectonics,Architecture,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Civil Engineering,Civil Engineering,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Shipping and Oceanic Engineering,Other Engineering,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Highway and Railway Engineering,Other Engineering,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Traffic Information Engineering and Control,Other Engineering,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Safety Science and Engineering,Other Engineering,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Electrical Computer and Engineering,Computer Science,Master,English,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Information and Communication Engineering,Other Engineering,Master,English,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,MBA,Business Administration ,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Civil Law and Commercial Law,Law,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Science of Procedure Laws,Law,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Constitution Law and Administrative Law,Law,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Criminal Jurisprudence,Law,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Optics,Optics,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Acoustics,Acoustics,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Applied Mathematics,Mathematics,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Operational Research and Cybernetics,Operational Research and Cybernetics,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Computational Mathematics,Mathematics,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Fundamental Mathematics,Mathematics,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Software Engineering,Software Engineering,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Land Resource Management,Management,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Finance,Finance,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Administrative Management,Administrative Management,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Quantitative Economics,Economics,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Social Security,Social Security,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Industrial Economics,Economics,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Regional Economics,Economics,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Accounting,Accounting,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Management Science and Engineering,Management,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Microelectronics and Solid State Electronics,Electronics,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Circuits and Systems,Circuits and Systems,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Transportation Planning and Management,Management,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Mechanics,Mechanics,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Sugar Engineering,Other Engineering,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Architectural History and Theory,Architecture,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Mechanical Engineering,Mechanical Engineering,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Architectural Design and Theory,Architecture,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Biomedical Engineering,Other Engineering,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Pulp and Paper Engineering,Other Engineering,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
South China University of Technology,Fermentation Engineering,Other Engineering,Master,Chinese,28000,0,0,5750,82.96296296,33750,Sep,2019,1000,1000
Jiangsu University,Chinese Materia Medica ,Medicine,Master,Chinese,20000,0,0,9000,68.96551724,29000,Sep,2019,1000,1000
Jiangsu University,Chinese Materia Medica ,Medicine,Master,English,20000,0,0,9000,68.96551724,29000,Sep,2019,1000,1000
Jiangsu University,Management Science and Engineering,Management,Master,Chinese,20000,0,0,9000,68.96551724,29000,Sep,2019,1000,1000
Jiangsu University,Basic Medicine,Medicine,Master,Chinese,20000,0,0,9000,68.96551724,29000,Sep,2019,1000,1000
Jiangsu University,Public Administration,Public Administration,Master,Chinese,20000,0,0,9000,68.96551724,29000,Sep,2019,1000,1000
Jiangsu University,Business Administration,Business Administration,Master,English,20000,0,0,9000,68.96551724,29000,Sep,2019,1000,1000
Jiangsu University,Civil Engineering ,Civil Engineering ,Master,Chinese,20000,0,0,9000,68.96551724,29000,Sep,2019,1000,1000
Jiangsu University,Civil Engineering ,Civil Engineering ,Master,English,20000,0,0,9000,68.96551724,29000,Sep,2019,1000,1000
Jiangsu University,Power Engineering and Engineering Thermophysics,Other Engineering,Master,Chinese,20000,0,0,9000,68.96551724,29000,Sep,2019,1000,1000
Jiangsu University,Materials Science & Engineering,Material Science,Master,Chinese,20000,0,0,9000,68.96551724,29000,Sep,2019,1000,1000
Jiangsu University,Instrument Science and Technology,Instrument Science and Technology,Master,Chinese,20000,0,0,9000,68.96551724,29000,Sep,2019,1000,1000
Jiangsu University,Environmental Science and Engineering,Environmental Science,Master,Chinese,20000,0,0,9000,68.96551724,29000,Sep,2019,1000,1000
Jiangsu University,MBA,Business Administration,Master,Chinese,20000,0,0,9000,68.96551724,29000,Sep,2019,1000,1000
Jiangsu University,Pediatrics,Pediatrics,Master,English,20000,0,0,9000,68.96551724,29000,Sep,2019,1000,1000
Jiangsu University,Food Science and Engineering,Food,Master,English,20000,0,0,9000,68.96551724,29000,Sep,2019,1000,1000
Jiangsu University,Power Engineering and Engineering Thermophysics,Other Engineering,Master,English,20000,0,0,9000,68.96551724,29000,Sep,2019,1000,1000
Jiangsu University,Instrument Science and Technology ,Instrument Science and Technology ,Master,English,20000,0,0,9000,68.96551724,29000,Sep,2019,1000,1000
