University,Major,Key,Level,Language,Tuition Covered,Accomodation covered?,Living Expense Covered?,Tuition fees to pay,Percentage tuition covered,Original Tuition fee,Start_Month,Start_Year,Accomodation_To_Pay,Expense_To_Pay
Dongguan University of Technology,Software Engineering,Software Engineering,Bachelor,English,22500,0,0,0,100,22500,Sep,2019,5000,900
Northeast Petroleum University,Geophysics,Geophysics,Bachelor,Chinese,7500,0,0,10500,41.66666667,18000,Sep,2019,1000,1000
Dongguan University of Technology,International Business,Business,Bachelor,English,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,TV Broadcasting,Broadcasting,Bachelor,Chinese,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,"Chinese Language and Literature (Normal)	",Chinese Language,Bachelor,Chinese,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,Financial Management,Finance,Bachelor,English,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,Economics and Finance,Economics and Finance,Bachelor,Chinese,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,Chinese Language and Literature,Chinese Language,Bachelor,Chinese,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,International Economics and Trade,Economics,Bachelor,Chinese,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,Human Resource Management,Management,Bachelor,Chinese,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,Accounting,Accounting,Bachelor,Chinese,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,Business Administration,Business Administration,Bachelor,Chinese,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,Architecture,Architecture,Bachelor,Chinese,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,Engineering Management,Management,Bachelor,Chinese,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,Civil Engineering,Civil Engineering,Bachelor,Chinese,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,Chemical Engineering and Technology,Chemical Engineering,Bachelor,Chinese,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,Energy and Power Engineering,Other Engineering,Bachelor,Chinese,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,Environmental Engineering,Environmental Science,Bachelor,Chinese,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,Applied Chemistry,Chemistry,Bachelor,Chinese,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,Communication Engineering,Other Engineering,Bachelor,Chinese,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,Electronic and Information Engineering,Electronics,Bachelor,Chinese,22500,0,0,0,100,22500,Sep,2019,5000,900
Dongguan University of Technology,Computer Science and Technology,Computer Science,Bachelor,Chinese,22500,0,0,0,100,22500,Sep,2019,5000,900
Shanghai Normal University,Performing Art,Arts,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Environmental Design,Environmental Science,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Animation,Arts,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Industrial Design,Industrial Design,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Fine Arts(Teacher Training),Arts,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Music Performance,Arts,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Economics(Sino-French Cooperation),Economics,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Computer Science and Technology(Sino-French Cooperation),Computer Science,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Musicology(Teacher Training),Arts,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Advertising(Sino-French Cooperation),Advertising,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Insurance,Insurance,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Economics(Sino-US Cooperation),Economics,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Electrical Engineering and Automation,Automation,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Mechanical Design & Manufacturing and Automation,Automation,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Electronic Information Engineering,Electronics,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Electronic Information Engineering(Sino-US Cooperation),Electronics,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Tourism Management,Tourism,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Geographical Information Science,Geography,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Applied Chemistry,Chemistry,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Chemical Engineering and Technology,Chemical Engineering,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Educational Technology,Education,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Computer Science and Technology,Computer Science,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Physics(Teacher Training),Physics,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Mathematics and Applied Mathematics,Mathematics,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Statistics,Statistics,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Information and Computational Science,Computer Science,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Electronic Business,Electronics,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Financial Management,Finance,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Economics,Economics,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Applied Psychology,Psychology,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Preschool Education,Education,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Primary Education,Education,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Human Resource Management,Management,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Philosophy,Philosophy,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Chinese Language and Literature(Teacher Training),Chinese Language,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Editing and Publishing,Arts,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Teaching Chinese to Speakers of Other Languages,Teaching Chinese to Speakers of Other Languages,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Advertising,Advertising,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai Normal University,Chinese Language and Literature,Chinese Language,Bachelor,Chinese,22400,0,0,0,100,22400,Sep,2019,1950,2400
Shanghai University of Traditional Chinese Medicine,TCM (Acupuncture),TCM,Bachelor,English,14000,0,0,21000,40,35000,Sep,2019,1000,1000
Shanghai University of Traditional Chinese Medicine,TCM (Acupuncture),TCM,Bachelor,English,35000,0,1,0,100,35000,Sep,2019,1200,1500
Shanghai University of Traditional Chinese Medicine,TCM (Acupuncture),TCM,Bachelor,English,5000,0,0,30000,14.28571429,35000,Sep,2019,1000,1000
North China Electric Power University,Advertising,Advertising,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Mechanical Engineering,Mechanical Engineering,Bachelor,English,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Building Environment and Energy Application Engineering,Other Engineering,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Water Resources and Hydropower Engineering,Other Engineering,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Internet of Things Engineering,Other Engineering,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Information Management and Information Systems,Information Management and Information Systems,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Electrical Engineering and Its Automation ,Automation ,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,English,English,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Materials Science and Engineering,Material Science,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Law Science ,Law,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Information and Computing Sciences,Computer Science,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Applied Physics,Physics,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Public Administration,Public Administration,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Public Utilities Management ,Management ,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Engineering Management ,Management ,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Finance,Finance,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Human Resource Management,Human Resource Management,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Nuclear Engineering and Nuclear Technology,Other Engineering,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Automation,Automation,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Measuring & Control Technology and Instrumentations,Measuring & Control Technology and Instrumentations,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Computer Science and Technology,Computer Science,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,New Energy Material and Apparatus,Material Science,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,New Energy Science and Engineering ,Other Engineering ,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Applied Chemistry,Chemistry,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Electronics Science and Technology,Electronics,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Hydrology and Water Resources Engineering,Other Engineering,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Energy and Power Engineering,Other Engineering,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Mechanical Engineering,Mechanical Engineering,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Smart Grid Information Engineering,Other Engineering,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Electrical Engineering and Its Automation (in English) ,Automation,Bachelor,English,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Software Engineering,Software Engineering,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Chinese Linguistics & Literature,Chinese Language,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University, Business Administration, Business Administration,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Information Security,Information Security,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Radiation Protection and Nuclear Safety,Radiation Protection and Nuclear Safety,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
North China Electric Power University,Advertising,Advertising,Bachelor,Chinese,16500,0,0,5500,75,22000,Sep,2019,1200,1500
North China Electric Power University,Accounting ,Accounting ,Bachelor,Chinese,0,0,1,22000,0,22000,Sep,2019,1200,0
China University of Mining and Technology,Human Resource Management ,Management ,Bachelor,Chinese,5375,0,0,9025,37.32638889,14400,Sep,2019,3000,2000
China University of Petroleum - Beijing,Marketing,Marketing,Bachelor,Chinese,16000,0,0,9000,64,25000,Sep,2019,1500,1500
China University of Petroleum - Beijing,Accounting,Accounting,Bachelor,Chinese,16000,0,0,9000,64,25000,Sep,2019,1500,1500
China University of Petroleum - Beijing,Finance,Finance,Bachelor,Chinese,16000,0,0,9000,64,25000,Sep,2019,1500,1500
China University of Petroleum - Beijing,Reconnaissance Technology and Engineering,Other Engineering,Bachelor,English,16000,0,0,9000,64,25000,Sep,2019,1500,1500
China University of Petroleum - Beijing,"Mechanical Design, Manufacture and Automation",Automation,Bachelor,Chinese,16000,0,0,9000,64,25000,Sep,2019,1500,1500
China University of Petroleum - Beijing,"Petroleum Engineering (Oil and Natural Gas Drilling, Developing and Ocean Engineering)",Other Engineering,Bachelor,English,16000,0,0,9000,64,25000,Sep,2019,1500,1500
China University of Petroleum - Beijing,Petroleum Engineering,Other Engineering,Bachelor,Chinese,16000,0,0,9000,64,25000,Sep,2019,1500,1500
China University of Petroleum - Beijing,Oil and Gas Storage and Transportation Engineering,Oil and Gas,Bachelor,Chinese,16000,0,0,9000,64,25000,Sep,2019,1500,1500
